Open,High,Low,Close,Volume,Dividends,Stock Splits
163.44175113616387,163.73875898166128,162.39233650766008,163.58035278320312,41516200,0.0,0.0
164.4416518212544,165.73857027099072,163.99613256812546,164.80795288085938,49923000,0.0,0.0
164.14464415802902,166.48108235627174,163.8872303481945,165.9563751220703,47720200,0.0,0.0
164.43175373561738,166.19398100625685,163.90704646438456,164.9861602783203,52456400,0.0,0.0
163.40213579346278,164.78815208279067,162.8477292777316,163.3724365234375,58337300,0.0,0.0
163.3526447044582,163.94666036414364,162.25372630855222,163.67935180664062,41949600,0.0,0.0
163.5407390651718,164.64955210777222,162.09530911482935,162.13491821289062,48714100,0.0,0.0
161.43199188421733,163.6298284131595,161.1745931859106,162.125,45498800,0.0,0.0
163.54073931024718,166.87708827078586,163.54073931024718,166.7285919189453,64902300,0.0,0.0
166.80780972743617,168.1542321598927,166.2038993325892,167.9859161376953,55209200,0.0,0.0
167.5899022757501,168.74821914844807,166.95629265889536,167.8968048095703,52472900,0.0,0.0
168.3918277162097,168.6492415594711,165.86728374647268,166.8572998046875,48425700,0.0,0.0
167.8077034423993,169.21352427793394,165.4910697460863,165.77816772460938,65136000,0.0,0.0
163.243711633137,165.37223965151196,162.6695006318279,164.1347198486328,81235400,0.0,0.0
169.27291399392053,172.55977402605672,169.055109287866,171.83706665039062,113316400,0.0,0.0
170.75794076749395,172.1142728432519,170.39163971305302,171.76776123046875,55962800,0.0,0.0
171.3222729910744,171.80737116626167,169.88675280256177,170.0550537109375,45326900,0.0,0.0
171.29257694818676,172.29248769554175,170.1837487273319,171.82717895507812,53724500,0.0,0.0
172.11426641943214,172.8468685009711,170.45103188917147,172.0152587890625,49514700,0.0,0.0
172.12430116865193,172.5605130962495,169.52687667093326,171.08335876464844,45497800,0.24,0.0
171.6682680003546,171.71784028672823,169.99282456135643,170.58766174316406,37266700,0.0,0.0
170.50834911043384,171.6484360603376,170.31998349861684,170.58766174316406,42110300,0.0,0.0
170.23077817517168,171.4402543357864,168.9518826544196,171.20233154296875,57951600,0.0,0.0
171.50966446616422,173.73037308197308,171.0932844370763,173.54200744628906,65496700,0.0,0.0
174.87043102802375,174.87043102802375,173.43292554468675,173.65103149414062,55772400,0.0,0.0
172.48123481307542,173.20495707678998,171.95580173946098,172.6993408203125,43570900,0.0,0.0
171.6385593675291,171.8864057178537,169.8044903241909,170.0820770263672,50747300,0.0,0.0
169.61612586083143,170.9346702690374,169.05104404436648,170.3596649169922,45143500,0.0,0.0
170.92473533776644,172.4018896852921,170.21093674442764,171.49974060058594,56058300,0.0,0.0
171.82689288847826,174.25578364207266,171.6186953371014,173.918701171875,54835000,0.0,0.0
175.43556138959772,177.44807247659148,175.04892170114425,175.7726287841797,55964400,0.0,0.0
175.80235035598085,177.80495282122013,175.2372534954211,175.72303771972656,99625300,0.0,0.0
176.16916396782793,178.56831456742498,175.4057930547119,178.53857421875,68901800,0.0,0.0
179.47047169338217,180.21401063542314,177.7157155545107,179.3911590576172,61945900,0.0,0.0
181.05671795588958,183.35672418608127,176.50624753561252,178.03298950195312,121946500,0.0,0.0
178.41961560329207,178.56831734898336,175.90148844243106,177.66616821289062,64848400,0.0,0.0
