x,y,ticker
-31.50717,10.088259,BAC
64.62782,2.3670843,HAL
-5.7572923,7.016768,CAT
-13.07902,57.0376,MCD
-37.91147,-4.8238683,MMM
-5.6083913,49.47154,KO
-38.773746,-30.82605,MSFT
-25.397032,-32.48818,NVDA
2.745909,15.595465,XOM
24.530256,45.287125,CVX
72.65727,7.873976,NKE
-30.611435,20.555553,GS
-27.04779,31.397552,JPM
-32.146988,-20.725147,GOOGL
-41.68673,-18.108803,META
63.61034,12.849553,PFE
7.7156982,26.350351,DAL
-16.020212,46.616043,UNH
-25.347979,1.056301,AAPL
27.400782,36.99575,JNJ
