Open,High,Low,Close,Volume,Dividends,Stock Splits
155.79674914043375,156.26675259155243,155.04474074997043,155.73094177246094,8046400,0.0,0.0
154.39613724040228,154.8097425818298,150.07209965340022,151.3505096435547,14571500,0.0,0.0
152.2717147460338,152.9203074238971,151.50090224446643,152.77931213378906,6752000,0.0,0.0
152.6853103880155,153.99193371874603,151.30351347253523,153.76632690429688,9498800,0.0,0.0
154.5747608648654,155.07296345153634,152.2529423148921,152.92974853515625,7014200,0.0,0.0
152.9297082360221,153.98251125972934,152.15889577697538,153.8603057861328,5278900,0.0,0.0
154.45253851525692,155.43015376829993,154.31154321114863,155.2703399658203,6263100,0.0,0.0
154.24571805475134,154.5277229738185,152.50671401667472,152.86390686035156,5518200,0.0,0.0
153.127093441413,153.60650606242586,152.40329857300853,153.22109985351562,5739700,0.0,0.0
153.04251434268787,153.93551798962017,152.8075126280548,153.87911987304688,6023400,0.0,0.0
153.78514099121094,154.4431429799806,152.50673098015804,153.78514099121094,4893400,0.0,0.0
154.48072645714456,155.55233372134035,153.74752224181938,155.12933349609375,7541700,0.0,0.0
155.6181487379045,156.21034334501644,152.7605196639851,153.0989227294922,5937200,0.0,0.0
152.92031262271652,153.12711528414982,151.5761096667668,152.4033203125,5128000,0.0,0.0
153.07072315287073,153.3433331914978,151.9897209340363,152.92031860351562,5193700,0.0,0.0
152.27171503170808,152.81692072675915,151.66070197223894,152.572509765625,4994900,0.0,0.0
152.0461092315151,152.4033164273149,151.14369633705056,151.3881072998047,5520500,0.0,0.0
151.5291024442551,152.25291174011824,150.4574952012606,151.9521026611328,6756600,0.0,0.0
152.12131314199823,152.4597161881514,149.82769408955642,151.3317108154297,5867600,0.0,0.0
151.67951358318587,151.86751209404824,150.41049853397269,151.13430786132812,3904200,0.0,0.0
151.15311226170834,151.36930983238398,149.4046988554423,149.9781036376953,5104500,0.0,0.0
149.5174846588635,150.63609508579646,149.01928218452016,149.7806854248047,5599200,0.0,0.0
150.20369999673207,150.45750588222288,148.30489633846446,149.4517059326172,6840700,0.0,0.0
149.1414834641097,149.39527497481578,148.10747023890346,148.97227478027344,5173000,0.0,0.0
149.0756862776949,150.33529204283428,148.6526860542814,149.37649536132812,6524000,0.0,0.0
149.64166833323088,150.72136080516668,148.48620619377144,148.57144165039062,5675900,1.19,0.0
148.78928477097193,149.89738906108897,148.09789197459517,148.51461791992188,5793000,0.0,0.0
148.7703385086893,148.82716214631117,147.67170000937898,148.37255859375,5015100,0.0,0.0
147.79483453274256,148.02212909400677,145.58809164041784,146.24159240722656,6886100,0.0,0.0
146.50677893940824,147.06556400428752,146.04269512446825,146.1847686767578,6845400,0.0,0.0
145.82487091919023,147.16028431395895,145.20926219475288,146.20370483398438,5593100,0.0,0.0
146.5162519418948,147.4538854074521,145.7112262456375,146.85720825195312,11324600,0.0,0.0
146.36471557617188,146.83826521359543,145.04824816219795,146.36471557617188,7901300,0.0,0.0
146.5351949321509,148.98817848471032,145.93851778903576,148.66616821289062,7657200,0.0,0.0
148.45778017976687,150.24779685554566,148.45778017976687,149.94473266601562,6430500,0.0,0.0
151.13809663888526,151.16650845961715,149.07341280564754,149.81214904785156,5073600,0.0,0.0
149.73639059896792,150.39935715439898,149.11130165316703,150.13417053222656,6504300,0.0,0.0
150.11521519168366,151.93364382448408,149.47119470680246,151.7821044921875,5818400,0.0,0.0
151.93366329051045,152.2272617522101,151.0339218735505,151.54534912109375,6264400,0.0,0.0
151.5358778136435,151.77265262272732,150.33305773705322,151.441162109375,6510600,0.0,0.0
151.28014544867446,152.3314260989822,150.73082619925734,152.23672485351562,6066800,0.0,0.0
153.051243503052,153.50584709340674,152.46403214510673,153.0133514404297,6699100,0.0,0.0
153.47743791977504,155.239043120824,152.89022655170018,155.0685577392578,7138300,0.0,0.0
155.77887380119944,156.26190364665422,155.2011427058265,155.54209899902344,13425100,0.0,0.0
155.5705007574023,156.56495775254098,155.14430903136747,155.4473876953125,7995800,0.0,0.0
154.92648442326788,156.19559384645922,154.08356673752598,155.2106170654297,7177500,0.0,0.0
155.22953938914165,156.9532667176599,155.12535790827974,156.85855102539062,5485900,0.0,0.0
157.32262919500647,157.47416851660893,156.29976045156758,156.7259521484375,9450700,0.0,0.0
156.25242168224372,156.25242168224372,152.79551538923494,154.97384643554688,6978800,0.0,0.0
155.02119306813472,155.2106244730077,153.84679928681038,154.65182495117188,4927500,0.0,0.0
154.56658899617577,154.56658899617577,153.344837367536,154.33929443359375,6780400,0.0,0.0
154.03621983955307,155.62735407782668,153.64790568271152,155.4189910888672,4547500,0.0,0.0
156.13876607457928,157.16163488832947,155.6557507118026,156.76385498046875,7580000,0.0,0.0
155.64626757141966,155.69362541824157,154.33928059896704,154.70864868164062,4033700,0.0,0.0
154.3677052210157,155.24850054830173,154.1214501777501,154.1972198486328,7224600,0.0,0.0
153.66684772314514,153.78049500450336,152.48297370370645,153.05123901367188,6332500,0.0,0.0
151.98100843454537,152.52084745894064,150.77818841475033,150.82554626464844,7021700,0.0,0.0
150.9960076789992,151.81999375092306,150.5887619889977,151.07177734375,5739200,0.0,0.0
150.71190716545271,151.82001154558952,149.2628464797671,150.2383575439453,6607000,0.0,0.0
150.5319436041408,150.5319436041408,149.52802080144937,149.71743774414062,6940400,0.0,0.0
149.6416806594149,150.71190743041117,149.08289557343483,150.40882873535156,6401700,0.0,0.0
150.75924945900636,151.75370654718512,150.56983250211218,151.41275024414062,5361700,0.0,0.0
151.29909558560863,151.41274286388818,149.7837311011431,150.6550750732422,5486800,0.0,0.0
