Open,High,Low,Close,Volume,Dividends,Stock Splits
122.05446280191053,122.49027227198785,121.18285125048604,122.20941925048828,3917900,0.0,0.0
123.2166038307444,123.26502217538129,121.07631054660516,122.22877502441406,3857700,0.0,0.0
122.02539501104249,122.10287322561436,120.97946128050998,121.70580291748047,3547400,0.0,0.0
120.86326500144494,121.39591116215942,119.80764452765396,120.52429962158203,3891600,0.0,0.0
120.4758764239883,121.7154983923638,119.72048224880507,121.57022857666016,3651400,0.0,0.0
121.5508623342793,123.11975565050865,121.20221773317729,123.08101654052734,3790900,0.0,0.0
122.53868360104791,122.77111087186991,120.13691789551798,120.72767639160156,4383300,0.0,0.0
120.29187158331227,121.03758654784167,119.40089418687587,119.93354034423828,4003200,0.0,0.0
120.514614572032,122.03508953496876,119.2556193642906,121.73486328125,4252100,0.0,0.0
121.20221187082105,123.06164472760753,121.0182029544925,122.72268676757812,4420700,0.0,0.0
122.91637872308075,124.62085520018269,122.85827375348603,123.88483428955078,4112600,0.0,0.0
123.1391281698771,123.55556436379527,121.2215828751835,123.24565887451172,3831600,0.0,0.0
121.53148077449889,124.33032401660553,119.76889202889032,122.74205017089844,4560100,0.0,0.0
120.9988484238517,121.24096233064587,118.94571983429425,119.76890563964844,6177100,0.0,0.0
121.9576172575036,123.02291696818092,121.27001464980525,122.59679412841797,4887500,0.0,0.0
123.24564996277826,123.66208612658447,122.00602809527953,122.87763214111328,3892600,0.0,0.0
121.31843665241237,121.69614115549923,120.25313690964435,121.15380096435547,4082100,0.0,0.0
122.30625800928428,122.47089368717961,118.31621829696002,119.61395263671875,5052600,0.0,0.0
119.55582777270294,119.9528980718126,118.05472619031703,118.36463165283203,5923100,0.0,0.0
117.17343153952434,117.37680631249958,115.27525960302611,116.41803741455078,6571800,0.0,0.0
116.04034694472128,116.20498261952201,114.28744471468238,116.05003356933594,5518200,0.0,0.0
113.7935312849379,114.12280263738488,112.45706523702346,112.80570983886719,8306400,0.0,0.0
112.70886060661066,113.43520231008131,111.61450843332429,113.2899398803711,7765400,0.0,0.0
113.72573717521482,115.39148192747903,113.16403117480394,115.12031555175781,5970500,0.0,0.0
110.94625808289426,111.84692198018904,109.5323139603497,111.13995361328125,11672400,0.0,0.0
109.2902040948974,109.2902040948974,106.5494731964754,106.70442962646484,12710300,0.0,0.0
106.3073636013645,107.55667216077877,104.77720943154979,105.34859466552734,11790400,0.0,0.0
105.56165651915165,105.65850059784533,103.81843354774722,104.87405395507812,8503200,0.0,0.0
104.93217423271281,105.53261943017763,104.03151013088092,104.0896224975586,6729800,0.0,0.0
103.62474556562297,105.02900318088024,103.62474556562297,104.11865997314453,7911200,0.0,0.0
104.98059051257528,105.44544507171966,102.91777531659078,103.1598892211914,9335200,0.0,0.0
102.36575166054179,102.82092696449385,101.52320003629238,101.93963623046875,21465200,0.0,0.0
100.8937070144891,101.3004566025104,99.6540850002927,100.36105346679688,12025200,0.0,0.0
104.57798399154073,105.34558322229049,103.12051878676178,104.7237319946289,11835000,0.34,0.0
104.82088535804002,104.82088535804002,102.1974511924465,102.21688079833984,7434000,0.0,0.0
102.49866290319119,103.72293569524841,102.21688542016724,103.17881774902344,7896300,0.0,0.0
103.03307016752004,105.17068274748537,102.43064857245112,104.05329132080078,11123900,0.0,0.0
104.12132188894174,104.47110673185921,102.67356772443826,103.18853759765625,9137600,0.0,0.0
102.90675469024136,103.2662579991306,102.36262935256856,102.85816955566406,5795200,0.0,0.0
103.27597848044289,103.82009641545346,101.63389875264913,103.80066680908203,7964600,0.0,0.0
104.10186739256429,104.43222998465784,103.27597203190606,103.7520751953125,8460500,0.0,0.0
104.432243998545,110.1843715938253,104.432243998545,109.65968322753906,17415500,0.0,0.0
108.65888765273287,109.62081258248735,107.03624488738771,109.22244262695312,10374200,0.0,0.0
110.767342482786,111.50579350832538,109.85399535680442,110.36896514892578,14443700,0.0,0.0
108.2507985218055,109.62081190872608,105.87026766107945,106.43382263183594,10602400,0.0,0.0
106.03544057115406,107.23056520360123,105.62735212614312,106.86134338378906,8377800,0.0,0.0
107.67751283165202,108.0953197573485,106.66700288547797,107.32772064208984,6002900,0.0,0.0
104.6945773616937,107.16255251110856,104.25734079268891,106.41438293457031,14324200,0.0,0.0
106.5601399197701,109.02811527742429,106.5601399197701,108.57144165039062,6887100,0.0,0.0
109.33902821807237,110.94224127552357,109.24186536281334,110.3884048461914,7138600,0.0,0.0
110.12605907067528,110.52443642175655,108.94066035315846,109.8248519897461,6766000,0.0,0.0
110.3786938727865,111.02969320182424,109.41676893786124,110.15522003173828,12465500,0.0,0.0
108.42569424928496,109.06698251543557,106.68645891350415,107.24029541015625,19614400,0.0,0.0
107.91070803625902,108.14390777756337,106.01600646972656,106.01600646972656,5734200,0.0,0.0
105.53991335277873,105.82169084056235,103.51889321401758,104.0630111694336,10405300,0.0,0.0
102.30432743506108,103.08163765373668,100.73026256668871,102.11971282958984,9923500,0.0,0.0
101.82823401858009,102.47923333492257,101.08006442918862,101.49787139892578,7460200,0.0,0.0
101.51730173191086,103.29540345059972,101.2938204968901,102.78043365478516,5374600,0.0,0.0
102.65412259539485,104.56826120308432,102.62497448064637,104.34477996826172,5457200,0.0,0.0
105.45246980313252,105.99658780093627,104.17961916696225,104.70430755615234,8305000,0.0,0.0
105.97714521111996,106.03544144287198,104.62656147982533,104.78202056884766,6692300,0.0,0.0
104.87918966035363,105.55933706665199,104.15045711944079,104.88890075683594,6932300,0.0,0.0
104.21846993236416,106.00629017473707,103.7326482474084,105.62734985351562,6682900,0.0,0.0
