Dim1,Dim2
-4.79515,-68.76106
18.123842,15.493335
5.8048162,-59.93713
2.2568476,17.529173
-115.30787,11.413595
49.651627,28.84477
-115.02501,-2.6728928
-100.57624,7.16076
12.950677,1.2952104
12.167764,45.439438
35.71383,50.634075
27.082209,-88.47271
56.356728,56.22522
55.316334,11.072801
15.272442,74.56403
38.20058,76.13524
8.790628,-32.79756
70.468864,60.734303
18.285446,-72.379005
4.840986,-15.875999
