x,y,ticker,sector
-54.145786,0.8760703,XOM,Energy
-72.18649,17.282587,CVX,Energy
-37.48602,-8.934704,HAL,Energy
-70.73709,78.88491,MMM,Industrials
-20.637478,-40.032486,CAT,Industrials
-47.44755,49.74944,DAL,Industrials
38.51981,-7.3157797,MCD,Consumer Staples
42.180553,-22.615036,NKE,Consumer Staples
72.309006,74.697754,KO,Consumer Staples
-33.13555,10.570211,JNJ,Healthcare
-39.526474,-31.189693,PFE,Healthcare
-36.59309,78.683556,UNH,Healthcare
0.41168934,-54.4686,JPM,Financials
35.36781,-64.37099,GS,Financials
-53.4562,86.817924,BAC,Financials
-65.24406,42.09753,AAPL,Tech
64.48457,51.30938,MSFT,Tech
78.58211,51.992455,NVDA,Tech
-56.016796,-19.166067,GOOGL,Tech
35.003426,-42.538692,META,Tech
