TSNE1,TSNE2
57.715458,22.67484
117.69417,-88.66841
24.25555,14.012971
-70.67319,-1.5450749
-56.34325,30.82709
109.04203,-71.25694
-52.621475,12.27864
-150.29088,48.188553
-134.92104,63.195576
-7.393359,22.09179
62.060604,3.6478531
37.17894,27.825844
80.52704,-23.771095
101.21112,-41.427925
43.80041,5.640027
-71.30249,18.526136
118.56822,-56.045692
-151.68945,63.78696
-23.817451,22.312317
95.63594,-18.016945
