label,x,y
GOOGL,-64.78165,56.418568
JPM,52.61267,-12.607664
NKE,-24.502539,15.551762
UNH,41.3676,-133.67851
MMM,-58.72436,40.840023
HAL,-14.566463,8.399761
JNJ,-62.83468,50.04843
CVX,-60.57811,44.905594
NVDA,6.229365,37.477306
CAT,56.879143,-15.90384
MSFT,65.05268,-22.505547
BAC,0.6636728,33.89978
META,45.169125,-128.81476
AAPL,-66.48328,62.687515
KO,-28.345016,17.91113
XOM,-55.477848,35.69969
PFE,0.32110468,29.798876
DAL,-18.385916,10.6937685
MCD,60.36828,-18.577908
GS,46.094704,-134.12082
